"",2018 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AR (Arkansas),0 0 1 0 0 0,0,0,1
KY (Kentucky),0 0 0 0 0 1,0,0,1
LA (Louisiana),0 0 1 0 0 0,0,0,1
MD (Maryland),0 0 0 2 0 0,0,0,2
MO (Missouri),0 0 0 1 0 0,0,0,1
ND (North Dakota),0 0 1 0 0 0,0,0,1
NY (New York),0 0 0 1 0 0,0,0,1
TN (Tennessee),0 0 0 0 0 1,0,0,1
VA (Virginia),1 0 0 0 0 0,0,0,1
Total,1 0 3 4 0 2,0,0,10
Percent,10.00 0.00 30.00 40.00 0.00 20.00,0.00,0.00,
Outside/Open Areas20 to 29 0,0,0,0,0.00,OU -,
"",,,,,PH -,Permanent Home
30 to 39 0,2,0,2,20.00,,
"",,,,,SC -,School
40 to 49 1,0,0,1,10.00,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 0,1,0,1,10.00,,
60 to 69 0,1,0,1,10.00,,
70 to 79 1,0,0,1,10.00,,
80 to 89 0,1,0,1,10.00,,
90 to -- 0,0,0,0,0.00,,
Unknown 1,0,0,1,10.00,,
Total 4,6,0,10,,,
Percent 40.00,60.00,0.00,,,,
