"",2014 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AL (Alabama),0 0 2 0 0 0,0,0,2
AR (Arkansas),0 0 3 0 0 13,0,1,17
IA (Iowa),0 0 0 0 2 0,0,0,2
MS (Mississippi),2 0 3 0 0 9,0,2,16
NC (North Carolina),0 0 0 0 0 1,0,0,1
NE (Nebraska),0 0 1 0 0 0,0,1,2
NY (New York),0 0 3 0 0 1,0,0,4
OK (Oklahoma),0 0 0 0 0 0,0,1,1
TN (Tennessee),0 0 2 0 0 0,0,0,2
Total,2 0 14 0 2 24,0,5,47
Percent,4.26 0.00 29.79 0.00 4.26 51.06,0.00,10.64,
Outside/Open Areas20 to 29 1,1,0,2,4.26,OU -,
"",,,,,PH -,Permanent Home
30 to 39 3,4,0,7,14.89,,
"",,,,,SC -,School
40 to 49 4,3,0,7,14.89,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 6,4,0,10,21.28,,
60 to 69 2,4,0,6,12.77,,
70 to 79 3,2,0,5,10.64,,
80 to 89 1,1,0,2,4.26,,
90 to -- 0,0,0,0,0.00,,
Unknown 0,0,0,0,0.00,,
Total 24,23,0,47,,,
Percent 51.06,48.94,0.00,,,,
