"",2010 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AR (Arkansas),0 0 3 0 1 2,0,0,6
IL (Illinois),0 0 1 0 0 0,0,0,1
MI (Michigan),0 0 0 1 0 0,0,0,1
MN (Minnesota),1 0 1 0 1 0,0,0,3
MO (Missouri),0 0 4 0 0 0,0,1,5
MS (Mississippi),0 0 8 0 2 1,0,2,13
MT (Montana),0 0 0 0 0 2,0,0,2
ND (North Dakota),0 0 0 0 0 0,0,1,1
NY (New York),0 0 0 0 0 0,0,1,1
OH (Ohio),0 0 0 0 1 5,0,1,7
OK (Oklahoma),0 0 1 0 2 0,0,0,3
TN (Tennessee),0 0 1 0 0 0,0,0,1
WV (West Virginia),0 0 0 0 0 1,0,0,1
Total,1 0 19 1 7 11,0,6,45
Percent,2.22 0.00 42.22 2.22 15.56 24.44,0.00,13.33,
"",Female,Male,Unknown,Total,Percent
0 to 9,2,1,0,3,6.67
10 to 19,1,1,0,2,4.44
20 to 29,4,1,0,5,11.11
30 to 39,2,1,0,3,6.67
40 to 49,1,3,0,4,8.89
50 to 59,2,5,0,7,15.56
60 to 69,7,2,0,9,20.00
70 to 79,4,4,0,8,17.78
80 to 89,0,2,0,2,4.44
90 to --,1,0,0,1,2.22
Unknown,1,0,0,1,2.22
Total,25,20,0,45,
Percent,55.56,44.44,0.00,,
