"",2017 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
GA (Georgia),0 0 12 0 0 4,0,0,16
IL (Illinois),0 0 0 0 3 0,0,0,3
LA (Louisiana),0 0 2 0 1 0,0,0,3
MO (Missouri),0 0 0 0 0 0,0,1,1
MS (Mississippi),0 0 2 0 0 3,0,0,5
OK (Oklahoma),0 0 0 0 0 0,0,1,1
SC (South Carolina),0 0 1 0 0 0,0,0,1
TX (Texas),0 0 0 1 0 1,0,2,4
WI (Wisconsin),0 0 1 0 0 0,0,0,1
Total,0 0 18 1 4 8,0,4,35
Percent,0.00 0.00 51.43 2.86 11.43 22.86,0.00,11.43,
Outside/Open Areas20 to 29 0,2,0,2,5.71,OU -,
"",,,,,PH -,Permanent Home
30 to 39 3,5,0,8,22.86,,
"",,,,,SC -,School
40 to 49 3,2,0,5,14.29,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 1,5,0,6,17.14,,
60 to 69 1,1,0,2,5.71,,
70 to 79 3,2,0,5,14.29,,
80 to 89 0,3,0,3,8.57,,
90 to -- 0,0,0,0,0.00,,
Unknown 1,1,0,2,5.71,,
Total 14,21,0,35,,,
Percent 40.00,60.00,0.00,,,,
