Year,Age,Female,Male,Unknown,Total,Percent
2014,0 to 9,3,4,0,7,14.89
2014,10 to 19,1,0,0,1,2.13
2014,20 to 29 ,1,1,0,2,4.26
2014,30 to 39,3,4,0,7,14.89
2014,40 to 49,4,3,0,7,14.89
2014,50 to 59,6,4,0,10,21.28
2014,60 to 69 ,2,4,0,6,12.77
2014,70 to 79,3,2,0,5,10.64
2014,80 to 89 ,1,1,0,2,4.26
2014,90+,0,0,0,0,0
