Year,Age,Female,Male,Unknown,Total,Percent
2013,0 to 9,6,5,0,11,20
2013,10 to 19,0,0,0,0,0
2013,20 to 29,2,2,0,4,7.2
2013,30 to 39,1,5,0,6,10.91
2013,40 to 49,4,3,0,7,12.73
2013,50 to 59,3,5,0,8,14.55
2013,60 to 69,2,5,0,7,12.73
2013,70 to 79,3,2,0,5,9.09
2013,80 to 89,2,3,0,5,9.09
2013,90+,1,0,0,1,1.82
