Year,Age,Female,Male,Unknown,Total,Percent
2019,0 to 9,1,2,0,3,7.14
2019,10 to 19,0,2,0,2,4.76
2019,20 to 29,1,1,0,2,4.76
2019,30 to 39,2,2,0,4,9.52
2019,40 to 49,3,0,0,3,7.14
2019,50 to 59,7,4,0,11,26.19
2019,60 to 69,4,2,0,6,14.29
2019,70 to 79,1,0,0,1,2.38
2019,80 to 89,3,4,0,7,16.67
2019,90+,0,1,0,1,2.38
2019,Unknown,1,0,1,2,4.76
