"",2012 Tornado Fatalities by State and Location,,,
State,BU LS MH OT OU PH,SC,VE,Total
AL (Alabama),0 0 2 0 0 1,0,0,3
FL (Florida),0 0 0 0 0 1,0,0,1
IL (Illinois),0 0 1 0 0 8,0,0,9
IN (Indiana),0 0 8 0 0 6,0,0,14
KS (Kansas),0 0 0 0 0 1,0,0,1
KY (Kentucky),0 0 16 3 0 1,0,2,22
MO (Missouri),0 0 6 0 0 0,0,0,6
OH (Ohio),0 0 3 0 0 1,0,0,4
OK (Oklahoma),0 0 4 0 2 0,0,0,6
TN (Tennessee),0 0 1 0 0 2,0,0,3
Total,0 0 41 3 2 21,0,2,69
Percent,0.00 0.00 59.42 4.35 2.90 30.43,0.00,2.90,
Outside/Open Areas20 to 29 1,6,0,7,10.14,OU -,
"",,,,,PH -,Permanent Home
30 to 39 3,0,0,3,4.35,,
"",,,,,SC -,School
40 to 49 5,3,0,8,11.59,,
"",,,,,VE -,Vehicle/Towed Trail
50 to 59 2,9,0,11,15.94,,
60 to 69 7,3,0,10,14.49,,
70 to 79 6,8,0,14,20.29,,
80 to 89 1,3,0,4,5.80,,
90 to -- 1,1,0,2,2.90,,
Unknown 0,0,0,0,0.00,,
Total 34,35,0,69,,,
Percent 49.28,50.72,0.00,,,,
